timestamp,asset,entry_price,exit_price,predicted_direction,confidence,trade_pnl,correct,running_bankroll
2026-01-30 12:00:00+00:00,BTC,82800.5,82943.23,long,1.0,0.006189093061029799,True,1000.01
2026-01-30 17:00:00+00:00,BTC,82943.23,84219.99,long,1.0,0.6896632266654404,True,1000.7
2026-01-30 22:00:00+00:00,BTC,84219.99,84022.69,long,1.0,-0.19727088731745224,False,1000.5
2026-02-02 00:00:00+00:00,BTC,77672.61,75661.93061234492,long,1.0,-1.3750149588498033,False,999.12
2026-02-02 05:00:00+00:00,BTC,75502.1,77504.54,long,1.0,1.2449902125663475,True,1000.37
2026-02-02 10:00:00+00:00,BTC,77504.54,78850.06,long,1.0,0.7883170022595093,True,1001.16
2026-02-02 15:00:00+00:00,BTC,78850.06,78008.59,long,1.0,-0.6142985317944926,False,1000.54
2026-02-02 20:00:00+00:00,BTC,78008.59,79017.63,long,1.0,0.5670567915657231,True,1001.11
2026-02-03 01:00:00+00:00,BTC,79017.63,78594.17,long,1.0,-0.3483389602570449,False,1000.76
2026-02-03 06:00:00+00:00,BTC,78594.17,78079.5,long,1.0,-0.4077326726441018,False,1000.35
2026-02-03 11:00:00+00:00,BTC,78079.5,76631.05307177838,long,1.0,-1.0079024653554418,False,999.35
2026-02-06 19:00:00+00:00,BTC,70731.46,69958.0,long,1.0,-0.626348004409639,False,998.72
2026-02-07 00:00:00+00:00,BTC,69958.0,70161.5,long,1.0,0.06536059549192656,True,998.78
2026-02-07 05:00:00+00:00,BTC,70161.5,67733.82286725845,long,1.0,-1.8078637671733129,False,996.98
2026-02-07 10:00:00+00:00,BTC,67987.0,69151.5,long,1.0,0.7740664773582586,True,997.75
2026-02-07 15:00:00+00:00,BTC,69151.5,69631.18,long,1.0,0.2662325384305505,True,998.02
2026-02-07 20:00:00+00:00,BTC,69631.18,69379.57,long,1.0,-0.2601564830076899,False,997.76
2026-02-08 01:00:00+00:00,BTC,69379.57,69361.18,long,1.0,-0.09304400939402421,False,997.66
2026-02-08 06:00:00+00:00,BTC,69361.18,70999.98,long,1.0,1.098779587302689,True,998.76
2026-03-11 02:00:00+00:00,BTC,69810.72,69648.29,long,1.0,-0.19609307159692368,False,998.57
2026-03-11 07:00:00+00:00,BTC,69648.29,69361.13,long,1.0,-0.2857399021415721,False,998.28
2026-03-11 12:00:00+00:00,BTC,69361.13,71128.74966451367,long,1.0,1.1921618373762233,True,999.47
2026-03-11 17:00:00+00:00,BTC,70785.99,70373.01,long,1.0,-0.37151438015870425,False,999.1
2026-03-11 22:00:00+00:00,BTC,70373.01,69446.61,long,1.0,-0.7375436098301391,False,998.36
2026-04-11 03:00:00+00:00,BTC,72866.63,72664.17,long,1.0,-0.21856687595007535,False,998.15
2026-04-11 08:00:00+00:00,BTC,72664.17,72658.07,long,1.0,-0.08404123849199666,False,998.06
2026-04-11 13:00:00+00:00,BTC,72658.07,73560.4070809018,long,1.0,0.5398988886553816,True,998.6
2026-04-11 18:00:00+00:00,BTC,73547.89,72913.04666046976,long,1.0,-0.5108694304802858,False,998.09
2026-04-12 04:00:00+00:00,BTC,71466.53,71531.94,long,1.0,-0.03417193883168067,True,998.06
2026-04-15 02:00:00+00:00,BTC,74322.0,73730.43,long,1.0,-0.4770486279065877,False,997.58
2026-04-15 07:00:00+00:00,BTC,73730.43,74273.77,long,1.0,0.287765549852809,True,997.87
2026-06-06 04:00:00+00:00,BTC,60101.27,60981.24,long,1.0,0.6506817946238695,True,998.52
2026-06-06 19:00:00+00:00,BTC,60600.01,60782.01,long,1.0,0.07006097940341688,True,998.59
2026-06-07 00:00:00+00:00,BTC,60782.01,61748.1,long,1.0,0.7137076351757906,True,999.3
2026-06-07 05:00:00+00:00,BTC,61748.1,62370.52,long,1.0,0.4237030957140547,True,999.73
2026-06-09 02:00:00+00:00,BTC,62868.0,63198.44,long,1.0,0.1827543490101874,True,999.91
2026-06-09 07:00:00+00:00,BTC,63198.44,62645.15,long,1.0,-0.517692515159351,False,999.39
2026-06-14 17:00:00+00:00,BTC,63732.64,64444.04749008439,long,1.0,0.47782705554173194,True,999.87
2026-06-14 22:00:00+00:00,BTC,65426.78,65927.1,long,1.0,0.3023111589803691,True,1000.17
2026-06-15 03:00:00+00:00,BTC,65927.1,65662.01,long,1.0,-0.28109567960547266,False,999.89
2026-06-15 08:00:00+00:00,BTC,65662.01,66699.42800870536,long,1.0,0.7098895301653114,True,1000.6
2026-06-15 13:00:00+00:00,BTC,66447.05,66766.12,long,1.0,0.16018933484637518,True,1000.76
2026-06-17 10:00:00+00:00,BTC,64798.0,65855.62153512468,long,1.0,0.7366500709796151,True,1001.5
2026-06-17 15:00:00+00:00,BTC,65752.0,64894.51147868566,long,1.0,-0.7331577901256339,False,1000.76
